title,writers,text,year,neg,neu,pos,compound
My City of Ruins,Bruce Springsteen,"There's a blood red circle on the cold dark ground And the rain is falling down The church door's thrown open, I can hear the organ's song But the congregation's gone[SEP*] My city of ruins My city of ruins[SEP*] Now the sweet bells of mercy drift through the evening trees Young men on the corner, like scattered leaves The boarded up windows, the empty streets While my brother's down on his knees[SEP*] My city of ruins My city of ruins Come on, rise up Come on, rise up[SEP*] Now there's tears on the pillow, darlin', where we slept And you took my heart when you left Without your sweet kiss my soul is lost, my friend Tell me, how do I begin again?[SEP*] My city's in ruins My city's in ruins[SEP*] Now, with these hands, with these hands With these hands, with these hands I pray, Lord (with these hands, with these hands) I pray for the strength, Lord (with these hands, with these hands) Yeah, I pray for the faith, Lord (with these hands, with these hands) Pray for your love, Lord (with these hands, with these hands)[SEP*] I pray for the strength, Lord (with these hands, with these hands) I pray for your love, Lord (with these hands, with these hands) Pray for the faith, Lord (with these hands), alright (with these hands) I pray for the strength, Lord (with these hands), come on, come on (with these hands)",2002,0.111,0.635,0.254,0.9935
Back in Brazil,Paul McCartney,"Back in Brazil There lives a girl Dreams of the future And a far, far better world Back in Brazil She meets a man He's tall and handsome And he fits in with her plan Bright lights ahead Music and fun Nights are for dancing And the days for the sun [SEP*] All kinds of weather, will surely come and go But they're together And together they will steal the show Wooh ooh ooh Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ban! Ban! Ban! Ban! Ban! Ban! Ooh [SEP*] Back in Brazil She makes a date He has to cancel 'Cause they got him working late Back in Brazil She feels afraid Hope starts to crumble And her dreams begin to fade Her lights are out She's gone to bed Nights are for sleeping If a girl's to get ahead [SEP*] Even the weather Has started changing too But they'll be together And together they will make it through Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! Ichiban! [SEP*] So we raise a family as the clouds roll by Making pictures of us in the sky The kids are happy and they don't ask why Pa-pa-pa-pa-pa you and I [SEP*]",2018,0.162,0.732,0.106,-0.9636
Mary Queen of Arkansas,Bruce Springsteen,"Mary Queen of Arkansas It's not too early for dreamin' The sky is grown with cloud seed sown And a bastard's love can be redeeming Mary, my queen Your soft hulk is reviving No, you're not too late to desecrate The servants are just rising[SEP*] Well, I'm just a lonely acrobat The live wire is my trade I've been a shine boy for your acid brat And a wharf rat of your state Mary, my queen Your blows for freedom are missing Oh, you're not man enough for me to hate Or woman enough for kissing[SEP*] Oh, the big top is for dreamers We can take the circus All the way to the border Oh, and the gallows wait for martyrs Whose papers are in order But I was not born to live to die And you were not born for queenin' Oh, it's not too late to infiltrate The servants are just leavin'[SEP*] Mary queen of Arkansas Your white skin is deceivin' You wake and wait, ooh, to lie in bait And you almost got me believin' But on your bed, Mary I can see the shadow of a noose Oh, I don't understand How you can hold me so tight And love me so damn loose[SEP*] But I know a place Where we can go, Mary Where I can get a good job And start out all over again clean Oh, I got contacts deep in Mexico Where the servants have been seen",1973,0.077,0.832,0.091,0.5709
Radio Nowhere,Bruce Springsteen,"I was tryin' to find my way home But all I heard was a drone Bouncing off a satellite Crushin' the last lone American night[SEP*] This is radio nowhere, is there anybody alive out there? This is radio nowhere, is there anybody alive out there?[SEP*] I was spinnin' 'round a dead dial Just another lost number in a file Dancin' down a dark hole Just searchin' for a world with some soul[SEP*] This is radio nowhere, is there anybody alive out there? This is radio nowhere, is there anybody alive out there? Is there anybody alive out there?[SEP*] I just want to hear some rhythm I just want to hear some rhythm I just want to hear some rhythm I just want to hear some rhythm[SEP*] I want a thousand guitars I want pounding drums I want a million different voices speaking in tongues[SEP*] This is radio nowhere, is there anybody alive out there? This is radio nowhere, is there anybody alive out there? Is there anybody alive out there?[SEP*] I was driving through the misty rain Yeah searchin' for a mystery train Boppin' through the wild blue Tryin' to make a connection with you[SEP*] This is radio nowhere, is there anybody alive out there? This is radio nowhere, is there anybody alive out there? Is there anybody alive out there?[SEP*] I just want to feel some rhythm I just want to feel some rhythm[SEP*]",2007,0.045,0.736,0.219,0.9883
Prisoner of Love,David Bowie,"Don't look back Whatever it takes to save your life I've believe I belonged to you For a long time And my heart says no, no one but you[SEP*] Like a rescue on a darkened street Love walked into town I was a victim of my own self-persecution I'm a prisoner of love But I'm coming up for air[SEP*] Now don't be fooled by fools who promise you The world and all that glitters more fool you I'm such a hungry man that I beg you Over and over and over and over And I might take any highway to be there with you[SEP*] Even the best men shiver in their beds I'm loving you above everything I have I'm a prisoner of love I'm a prisoner of love Just stay square[SEP*] Like a sermon on blues guitar Love walked into town I was drowning so slowly One step in front of your shadow I'm a prisoner of love But I'm coming up for air[SEP*] Now don't be fooled by fools who promise you The world and all that glitters more fool you I smell the sickness sown in this city It drives me to hide you, yeah, even deceive you I'm so afraid for you that I'll break any thug Who maps out your passage to ruin[SEP*] Even the best men shiver in their beds I'm loving you above everything I have I'm a prisoner of love I'm a prisoner of love Just stay square[SEP*] Take care, take care I'm a prisoner of love Just stay square Just stay square Stay out of the shooting gallery Just stay square[SEP*]",1989,0.174,0.54,0.286,0.9944
Daytime Nighttime Suffering,Paul McCartney,"What does she get for all the love she gave you There on the ladder of regrets? Mighty river, give her all she gets What does she get for all the love she gave you There on the ladder of regrets? Daytime nighttime suffering is all she gets Where are all the prizes for the games she entered With little chance of much success? Daytime nighttime suffering is all she gets [SEP*] Come on river, overflow Let your love for your people show Come on river, flow through me Let your love for your people be You are the river, I am the stream Flow mighty river through me [SEP*] What does it pay to play the leading lady When like the damsel in distress Daytime nighttime suffering is all she gets No less, no more (No less, no more) No sea, no shore (No sea, no shore) No sand, no pail (No sand, no pail) No fairy tale anymore [SEP*] Come on river, flow through me Don't be stopped by insanity Come on river, overflow Let your love for your neighbors grow You are the river, I am the stream Flow mighty river, through me [SEP*] Daytime nighttime suffering Is all she gets Daytime nighttime suffering Is all she gets Daytime nighttime suffering Is all she gets [SEP*] What does she get for all the love she gave you?",1979,0.188,0.67,0.142,-0.7294
Hungry Heart,Bruce Springsteen,"Got a wife and kids in Baltimore, Jack I went out for a ride and I never went back Like a river that don't know where it's flowing I took a wrong turn and I just kept going[SEP*] Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a h-h-hungry heart[SEP*] I met her in a Kingstown bar We fell in love, I knew it had to end We took what we had and we ripped it apart Now here I am down in Kingstown again[SEP*] Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a h-h-hungry heart[SEP*] La-la-la-la-la-la, oh yeah La-la-la-la-la-la Everybody needs a place to rest Everybody wants to have a home Don't make no difference what nobody says Ain't nobody like to be alone[SEP*] Everybody's got a hungry heart Everybody's got a hungry heart Lay down your money and you play your part Everybody's got a h-h-hungry heart",1980,0.056,0.85,0.093,0.7326
Karma Man,David Bowie,"Fingertip sun at sideshow stalls They throw the balls At coconut fur that hides behind Colored shades that blind your eyes Every child's mother holds an ice-cream cone They circle round Perceived unknown by an eye that peers From a hole in the tent where no one goes A figure sitting cross-legged on the floor He's clogged and clothed in saffron robes His beads are all he owns [SEP*] Slow down Slow down Someone must have said, ""Let's slow him down"" Slow down Slow down It's pictured on the arms of the karma man [SEP*] Fairy tale skin Depicting scenes from human zoos Impermanent toys like peace and war A gentle face you've seen before Karma man tattooed on your side The wheel of life I see my times and who I've been I only live now and I don't know why I struggle hard to take these pictures in But All my friends can see it's just the pinkness of his skin [SEP*] Slow down Slow down Someone must have said, ""Let's slow him down"" Slow down Slow down It's pictured on the arms of the karma man [SEP*] Slow down Slow down Someone must have said, ""Let's slow him down"" Slow down Slow down It's pictured on the arms of the karma man",1970,0.039,0.906,0.054,0.6287
Heaven's in Here,David Bowie,"Baby, I dream between the blade and the tongue Of the rose on your cheek the wounded and dumb We stumble and fall we stumble and fall Skin on skin but there's heaven in[SEP*] Heaven's in here Heaven's in here Among the twilight and stars Like a rocket to Mars Heaven in here[SEP*] The first and the last are telling it all Telling you loud but selling it small I'm taking a swing at this shadow of mine Crucifix hangs and my heart's in my mouth but it's here[SEP*] Heaven's in here Heaven's in here Among the twilight and stars Like a rocket to Mars Heaven in here[SEP*] Heaven in one sigh, heaven in two eyes Heaven lies between your marbled thighs The rustle of your falling gown We stumble and fall like tragedy falls[SEP*] We stumble and twirl there's heaven in here We stumble and fall uncertain we fall Flesh on flesh but there's heaven in Heaven's in here[SEP*] Heaven's in here Heaven's in here Among the twilight and stars Like a rocket to Mars Heaven in here[SEP*] You'll dance to my tongue We'll dance on the sun We're the twilight and stars There's heaven in here",1992,0.067,0.691,0.242,0.993
Under the God,David Bowie,"Skin dance back-a-the condo Skin heads getting to school Beating on blacks with a baseball bat Racism back in rule[SEP*] White trash picking up Nazi flags While you was gone, there was war This is the west, get used to it They put a Swastika over the door[SEP*] Under the God, under the God One step over the red line Under the God, under the God Ten steps into the crazy, crazy[SEP*] Washington heads in the toilet bowl Don't see supremacist hate Right wing dicks in their boiler suits Picking out who to annihilate[SEP*] Toxic jungle of Uzi trails Tribesmen just wouldn't live here Fascist flare is fashion cool Well, you're dead, you just ain't buried yet[SEP*] Under the God, under the God Under the God, under the God[SEP*] As the walls came tumbling down So, the secrets that we shared I believed you by the palace gates Now the savage days are here[SEP*] Under the God Under the God, under the God One step over the red line Under the God, under the God One step into the crazy, crazy[SEP*] Crazy eyed man with a shot gun Hot headed creep with a knife Love and peace and harmony Love you could cut with a knife[SEP*] Under the God, under the God Under the God, under the God[SEP*]",1989,0.133,0.636,0.232,0.9631
Black Tie White Noise,David Bowie,"Getting my facts from a Benetton ad Looking through African eyes Lit by the glare of an L.A. fire (Black tie, white noise) [SEP*] I've got a face, not just my race, bang bang I've got you, babe Putting on the black tie Cranking out the white noise [SEP*] Sun comes up and the man goes down Woman comes again Just an hour or so to be safe from fear (Black tie, white noise) [SEP*] Then we jump through hoops We're divisible now Just disappear Putting on the black tie Cranking out the white noise [SEP*] We reach out over race and hold each other's hands Then die in the flames singing: ""We shall overcome"" [SEP*] What's going on? There'll be some blood, no doubt about it But we'll come through, don't doubt it [SEP*] I look into your eyes and I know I won't kill you I look into your eyes and I know you won't kill me [SEP*] You won't kill me You won't kill me, no But I look into your eyes and I wonder sometimes [SEP*] Putting on the black tie Cranking out the white noise Oh Lord, just let him see me Lord, Lordy, let him hear me [SEP*] Let him call me brother Let him put his arms around me Let him put his hands together [SEP*] Reach out over race and hold each other's hands Walk through the night thinking: ""We are the world"" [SEP*] What's going on? There will be some blood, no doubt about it We shall come through, don't doubt it [SEP*] I look into your eyes and I know I won't kill you And I turn my back for I know you won't kill me [SEP*] You won't kill me You won't kill me, no But I wonder why Yes, I wonder why sometimes [SEP*] Putting on the black tie Cranking out the white noise They'll show us how to break the rules [SEP*] But never how to make the rules Reduce us down to witless punks (Black tie, white noise) [SEP*] Fascist cries, both black and white Who's got the blood? Who's got the gun? [SEP*] Putting on the black tie Cranking out the white noise Cranking out Cranking out Cranking out, white noise [SEP*] (Black tie, white noise) Cranking out Cranking out Putting on the black tie [SEP*] Cranking out the white noise Cranking out Cranking out Cranking out, white noise [SEP*] (Black tie, white noise) Cranking out Cranking out Putting on the black tie",1993,0.091,0.797,0.111,0.9509
Lonesome Day,Bruce Springsteen,"Baby, once I thought I knew Everything I needed to know about you Your sweet whisper, your tender touch But I didn't really know that much Joke's on me, it's gonna be okay If I can just get through this lonesome day Lonesome day[SEP*] Hell's brewing, dark sun's on the rise This storm will blow through by and by House is on fire, viper's in the grass A little revenge and this too shall pass This too shall pass, darling, yeah I'm gonna pray Right now, all I got's this lonesome day Lonesome day[SEP*] Better ask questions before you shoot Deceit and betrayal's bitter fruit It's hard to swallow, come time to pay That taste on your tongue don't easily slip away Let kingdom come, I'm gonna find my way Yeah, through this lonesome day Lonesome day Lonesome day Lonesome day[SEP*]",2002,0.279,0.602,0.119,-0.9827
Dress Me Up As A Robber,Paul McCartney,"Well you can dress me up as a robber But I won't be in disguise Only love is a robber And he lives within your eyes [SEP*] Ooh, ooh eee ooh You can dress me up as a sailor But I'll never run to sea As long as your love is available to me [SEP*] What do I do with a sea of blue? Ooh, eee ooh Pa pa, pa pa, pa-ra-ra [SEP*] It doesn't make a difference What you want to do Whichever way you look at it I'm still in love with you [SEP*] If we go on forever I may never make a change And if I don't convince you You needn't look too far [SEP*] To see that I'm not lying 'Cause I love you the way you are And what's the point of changing When I'm happy as I am? [SEP*] Well you can dress me up as a soldier But I wouldn't know what for I was the one that told you he loved you Don't wanna go to another war [SEP*]",1982,0.073,0.701,0.226,0.9869
Standing in the Doorway,Bob Dylan,"I'm walkin' through the summer nights The jukebox playing low Yesterday everything was goin' too fast Today it's movin' too slow[SEP*] I got no place left to turn I got nothin' left to burn Don't know if I saw you if I would kiss you or kill you It probably wouldn't matter to you anyhow[SEP*] You left me standing in the doorway cryin' I got nothin' to go back to now The light in this place is so bad Makin' me sick in the head[SEP*] All the laughter is just makin' me sad The stars have turned cherry red I'm strummin' on my gay guitar Smokin' a cheap cigar[SEP*] The ghost of our old love has not gone away Don't look it like it will anytime soon You left me standin' in the doorway cryin' Under the midnight moon[SEP*] Maybe they'll get me and maybe they won't But not tonight and it won't be here There are things I could say, but I don't I know the mercy of God must be near[SEP*] I been ridin a midnight train Got ice water in my veins I would be crazy if I took you back It would go up against every rule[SEP*] You left me standin' in the doorway cryin' Sufferin' like a fool[SEP*] When the last rays of daylight go down Buddy, you're old no more[SEP*] I can hear the church bells ringin' in the yard I wonder who they're ringin' for? I know I can't win But my heart just won't give in[SEP*] Last night I danced with a stranger But she just reminded me you were the one You left me standin' in the doorway cryin' In the dark land of the sun[SEP*] I eat when I'm hungry, drink when I'm dry And live my life on the square And even if the flesh falls off of my face I know someone will be there to care[SEP*] It always means so much Even the softest touch I see nothing to be gained by any explanation There's no words that need to be said[SEP*] You left me standin' in the doorway cryin' Blues wrapped around my head",1997,0.114,0.846,0.041,-0.9719
Baby Loves That Way,David Bowie,"Baby likes to go outside, so I let her Wants to fool with other guys, so I let her Wants to be bad, I let her be bad Her fooling around always makes me sad She fools around with other boys Treats me like an unwanted toy Baby loves that way Baby loves that way Baby loves that way Baby loves that way [SEP*] Baby likes to go outside, so I let her Wants to fool with other guys, so I let her Wants to be bad, so I let her be bad Her fooling around always makes me sad She fools around with other boys Treats me like an unwanted toy Baby loves that way Baby loves that way Baby loves that way Baby loves that way [SEP*] Baby loves that way Baby loves that way Baby loves that way Baby loves that way [SEP*] You alright? Alright, here we going",1991,0.197,0.525,0.279,0.9607
Driftin' Too Far From Shore,Bob Dylan,"I didn't know that you'd be leavin' Or who you thought you were talkin' to I figure maybe we're even Or maybe I'm one up on you[SEP*] I send you all my money Just like I did before I tried to reach you, honey But you're driftin' too far from shore[SEP*] Driftin' too far from shore Driftin' too far from shore Driftin' too far from shore Driftin' too far from shore[SEP*] I ain't gonna get lost in this current I don't like playing cat and mouse No gentleman likes making love to a servant Especially when he's in his father's house[SEP*] I never could guess your weight, baby Never needed to call you my whore I always thought you were straight, baby But you're driftin' too far from shore[SEP*] Driftin' too far from shore Driftin' too far from shore Driftin' too far from shore (Driftin' too far from shore)[SEP*] Well these times and these tunnels are haunted The bottom of the barrel is too I waited years sometimes for what I wanted Everybody can't be as lucky as you[SEP*] Never no more do I wonder Why you don't never play with me any more At any moment you could go under 'Cause you're driftin' too far from shore[SEP*] Driftin' too far from shore Driftin' too far from shore Driftin' too far from shore (Driftin' too far from shore)[SEP*] You and me we had completeness I give you all of what I could provide We weren't on the wrong side, sweetness We were the wrong side[SEP*] I've already ripped out the phones, honey You can't walk the streets in a war I can finish this alone, honey You're driftin' too far from shore",1986,0.084,0.792,0.124,0.8565
Rebel Rebel,David Bowie,"You've got your mother in a whirl She's not sure if you're a boy or a girl Hey babe, your hair's alright Hey babe, let's go out tonight[SEP*] You like me, and I like it all We like dancing and we look divine You love bands when they're playing hard You want more and you want it fast[SEP*] They put you down, they say I'm wrong You tacky thing, you put them on Rebel rebel, you've torn your dress Rebel rebel, your face is a mess Rebel rebel, how could they know? Hot tramp, I love you so! Don't ya?[SEP*] Doo doo doo-doo doo doo doo doo[SEP*] You've got your mother in a whirl 'cause she's Not sure if you're a boy or a girl Hey babe, your hair's alright Hey babe, let's stay out tonight[SEP*] You like me, and I like it all We like dancing and we look divine You love bands when they're playing hard You want more and you want it fast[SEP*] They put you down, they say I'm wrong You tacky thing, you put them on Rebel rebel, you've torn your dress Rebel rebel, your face is a mess Rebel rebel, how could they know? Hot tramp, I love you so! Don't ya?[SEP*] Oh? Doo doo doo-doo doo doo doo doo Doo doo doo-doo doo doo doo doo[SEP*] Rebel rebel, you've torn your dress Rebel rebel, your face is a mess Rebel rebel, how could they know? Hot tramp, I love you so![SEP*] You've torn your dress, your face is a mess You can't get enough, but enough ain't the test You've got your transmission and your live wire You got your cue line and a handful of ludes[SEP*] You wanna be there when they count up the dudes And I love your dress You're a juvenile success Because your face is a mess[SEP*] So how could they know? I said, how could they know? So what you wanna know Calamity's child, chi-chi, chi-chi[SEP*] Where'd you wanna go? What can I do for you? Looks like you've been there too 'Cause you've torn your dress And your face is a mess Ooh, your face is a mess Ooh, ooh, so how could they know? Eh, eh, how could they know? Eh, eh",1974,0.147,0.723,0.129,0.9067
